Species,Longitude,Latitude,grouping
P_rigida,-72.73416,41.99472,N
P_rigida,-70.023162,42.001608,N
P_rigida,-71.58083,42.02777,N
P_rigida,-71.88,42.05,N
P_rigida,-71.73944,42.05416,N
P_rigida,-70.189155,42.063308,N
P_rigida,-80.056482,42.065962,N
P_rigida,-73.952914,42.077592,N
P_rigida,-71.198015,42.085225,N
P_rigida,-72.07861,42.10833,N
P_rigida,-70.713098,42.115247,N
P_rigida,-71.55,42.13333,N
P_rigida,-80.030701,42.190221,N
P_rigida,-72.19111,42.2125,N
P_rigida,-71.113615,42.215609,N
P_rigida,-70.92188,42.23477,N
P_rigida,-72.64805,42.24166,N
P_rigida,-74.012854,42.241937,N
P_rigida,-71.90861,42.24583,N
P_rigida,-71.75666,42.25916,N
P_rigida,-72.08333,42.26666,N
P_rigida,-71.61611,42.26944,N
P_rigida,-71.43333,42.3,N
P_rigida,-72.334846,42.301346,N
P_rigida,-72.67222,42.33555,N
P_rigida,-72.227928,42.344856,N
P_rigida,-72.483147,42.350952,N
P_rigida,-72.04527,42.35277,N
P_rigida,-71.78555,42.36666,N
P_rigida,-71.256585,42.366963,N
P_rigida,-71.60833,42.43333,N
P_rigida,-76.501944,42.443889,N
P_rigida,-73.788458,42.446192,N
P_rigida,-71.88333,42.45,N
P_rigida,-71.36666,42.46666,N
P_rigida,-72.00611,42.47361,N
P_rigida,-71.47737,42.514051,N
P_rigida,-72.58277,42.51666,N
P_rigida,-71.75972,42.525,N
P_rigida,-71.11666,42.53333,N
P_rigida,-71.91055,42.54583,N
P_rigida,-72.21666,42.58333,N
P_rigida,-71.91666,42.65,N
P_rigida,-77.053858,42.660903,N
P_rigida,-72.18777,42.6775,N
P_rigida,-70.841161,42.679261,N
P_rigida,-72.04388,42.68611,N
P_rigida,-72.83333,42.7,N
P_rigida,-73.865784,42.713264,N
P_rigida,-71.49194,42.74861,N
P_rigida,-70.990482,42.77372,N
P_rigida,-70.8175,42.81861,N
P_rigida,-72.590927,42.917905,N
P_rigida,-77.5244,43.2183,N
P_rigida,-70.624542,43.406108,N
P_rigida,-71.423356,43.518692,N
P_rigida,-70.471175,43.546204,N
P_rigida,-70.232793,43.561307,N
P_rigida,-70.798948,43.613281,N
P_rigida,-73.547746,43.622334,N
P_rigida,-73.001731,43.626663,N
P_rigida,-70.444167,43.679444,N
P_rigida,-70.974507,43.69227,N
P_rigida,-70.24285,43.70552,N
P_rigida,-72.98623,43.72104,N
P_rigida,-69.729291,43.782575,N
P_rigida,-71.201665,43.867567,N
P_rigida,-69.959782,43.88005,N
P_rigida,-70.3355,43.9364,N
P_rigida,-73.077178,43.947808,N
P_rigida,-70.883243,43.954213,N
P_rigida,-71.114604,44.016833,N
P_rigida,-73.280223,44.06935,N
P_rigida,-69.15111,44.2125,N
P_rigida,-68.316675,44.231706,N
P_rigida,-71.30472,44.27055,N
P_rigida,-68.184602,44.32813,N
P_rigida,-73.358035,44.35499,N
P_rigida,-68.06329,44.380656,N
P_rigida,-73.23764,44.401314,N
P_rigida,-68.244171,44.407261,N
P_rigida,-73.102206,44.486407,N
P_rigida,-73.48024,44.50375,N
P_rigida,-68.151829,44.526507,N
P_rigida,-73.301068,44.55464,N
P_rigida,-73.195663,44.938741,N
